metros,valor,quartos,vagas,reformado,bairro
107,560,3,2,0,Vila Lusitania
107,555,3,2,1,Vila Lusitania
49,196,2,1,0,Ferrazopolis
104,515,3,2,1,Centro
92,560,3,2,1,Vila Lusitania
51,249,2,1,0,Taboao
140,635,4,3,1,Centro
50,210,2,1,1,Demarchi
93,450,3,2,0,Baeta Neves
107,425,3,2,1,Rudge Ramos
100,422,3,2,1,Baeta Neves
64,250,2,1,1,Pauliceia
65,350,2,2,1,Centro
71,303,3,1,0,Centro
64,294,3,1,0,Planalto
43,300,2,1,1,Assuncao
106,710,3,2,1,Centro
62,270,2,1,1,Assuncao
80,460,3,2,1,Centro
93,465,3,2,0,Baeta Neves
91,545,3,2,1,Vila Lusitania
80,485,3,2,1,Centro
65,270,3,2,1,Taboao
81,485,2,2,0,Independencia
100,495,3,2,0,Centro
62,330,2,2,0,Rudge Ramos
104,445,3,2,1,Centro
71,306,2,1,0,Rudge Ramos
55,280,2,1,0,Taboao
150,825,3,4,1,Jardim do Mar
147,798,4,2,0,Centro
74,259,2,2,1,Centro
77,390,3,2,1,Rudge Ramos
71,410,3,2,0,Centro
54,220,2,1,1,Assuncao
106,450,3,2,1,Baeta Neves
55,210,2,1,1,Pauliceia
116,750,3,3,0,Baeta Neves
199,880,4,4,0,Centro
85,580,3,2,1,Centro
80,362,3,2,0,Baeta Neves
100,580,3,2,1,Centro
64,315,3,1,0,Independencia
71,304,3,2,0,Centro
56,249,2,1,0,Planalto
55,255,2,1,1,Planalto
71,303,3,1,0,Centro
93,446,3,2,0,Baeta Neves
107,515,2,2,0,Vila Lusitania
71,310,3,2,0,Centro
80,347,3,2,0,Rudge Ramos
60,360,3,1,1,Nova Petropolis
113,525,3,2,0,Centro
93,518,3,2,0,Baeta Neves
84,509,3,2,1,Centro
100,605,3,2,0,Centro
55,277,2,1,0,Independencia
50,188,2,1,1,Demarchi
68,300,3,1,1,Rudge Ramos
94,460,3,2,0,Baeta Neves
70,330,2,2,0,Centro
107,650,3,2,1,Vila Lusitania
150,790,3,4,1,Jardim do Mar
54,245,2,1,1,Jordanopolis
56,230,2,1,1,Assuncao
57,250,2,1,1,Rudge Ramos
53,302,2,1,1,Assuncao
50,199,2,1,0,Ferrazopolis
80,345,3,2,0,Centro
67,250,2,1,1,Demarchi
62,225,2,1,1,Assuncao
73,365,2,2,0,Centro
54,289,2,1,1,Assuncao
48,217,2,1,0,Ferrazopolis
50,210,2,1,1,Santa Teresinha
93,465,3,2,0,Baeta Neves
70,319,3,1,0,Centro
65,340,2,2,1,Nova Petropolis
56,247,2,1,0,Planalto
106,636,3,2,0,Centro
86,460,3,2,0,Centro
93,447,3,2,0,Baeta Neves
52,272,2,1,0,Demarchi
57,227,2,1,1,Demarchi
58,195,2,1,1,Iraja
107,565,3,2,1,Baeta Neves
54,280,2,1,0,Assuncao
50,245,2,1,1,Taboao
130,875,3,2,1,Baeta Neves
94,570,2,2,0,Baeta Neves
88,520,3,2,0,Centro
70,367,2,1,1,Piraporinha
45,215,2,1,1,Assuncao
90,480,3,2,1,Centro
106,650,3,2,1,Nova Petropolis
100,422,3,2,1,Baeta Neves
105,659,3,2,1,Rudge Ramos
55,200,2,0,1,Iraja
53,220,2,1,1,Santa Teresinha
58,200,2,1,0,Santa Teresinha